NEIGHBORHOOD_ID,NEIGHBORHOOD_NAME,BOROUGH_ID
1,1021,1
2,1026,1
3,3004,3
4,3019,3
5,AIRPORT JFK,4
6,AIRPORT LA GUARDIA,4
7,ALPHABET CITY,1
8,ANNADALE,5
9,ARDEN HEIGHTS,5
10,ARROCHAR,5
11,ARROCHAR-SHORE ACRES,5
12,ARVERNE,4
13,ASTORIA,4
14,BATH BEACH,3
15,BATHGATE,2
16,BAY RIDGE,3
17,BAYCHESTER,2
18,BAYSIDE,4
19,BEDFORD PARK/NORWOOD,2
20,BEDFORD STUYVESANT,3
21,BEECHHURST,4
22,BELLE HARBOR,4
23,BELLEROSE,4
24,BELMONT,2
25,BENSONHURST,3
26,BERGEN BEACH,3
27,BLOOMFIELD,5
28,BOERUM HILL,3
29,BOROUGH PARK,3
30,BREEZY POINT,4
31,BRIARWOOD,4
32,BRIGHTON BEACH,3
33,BROAD CHANNEL,4
34,BRONX PARK,2
35,BRONX-UNKNOWN,2
36,BRONXDALE,2
37,BROOKLYN HEIGHTS,3
38,BROOKLYN-UNKNOWN,3
39,BROWNSVILLE,3
40,BULLS HEAD,5
41,BUSH TERMINAL,3
42,BUSHWICK,3
43,CAMBRIA HEIGHTS,4
44,CANARSIE,3
45,CARROLL GARDENS,3
46,CASTLE HILL/UNIONPORT,2
47,CASTLETON CORNERS,5
48,CHELSEA,1
49,CHINATOWN,1
50,CITY ISLAND,2
51,CITY ISLAND-PELHAM STRIP,2
52,CIVIC CENTER,1
53,CLINTON,1
54,CLINTON HILL,3
55,CLOVE LAKES,5
56,CO-OP CITY,2
57,COBBLE HILL,3
58,COBBLE HILL-WEST,3
59,COLLEGE POINT,4
60,CONCORD,5
61,CONCORD-FOX HILLS,5
62,CONEY ISLAND,3
63,CORONA,4
64,COUNTRY CLUB,2
65,CROTONA PARK,2
66,CROWN HEIGHTS,3
67,CYPRESS HILLS,3
68,DONGAN HILLS,5
69,DONGAN HILLS-COLONY,5
70,DONGAN HILLS-OLD TOWN,5
71,DOUGLASTON,4
72,DOWNTOWN-FULTON FERRY,3
73,DOWNTOWN-FULTON MALL,3
74,DOWNTOWN-METROTECH,3
75,DYKER HEIGHTS,3
76,EAST ELMHURST,4
77,EAST NEW YORK,3
78,EAST RIVER,2
79,EAST TREMONT,2
80,EAST VILLAGE,1
81,ELMHURST,4
82,ELTINGVILLE,5
83,EMERSON HILL,5
84,FAR ROCKAWAY,4
85,FASHION,1
86,FIELDSTON,2
87,FINANCIAL,1
88,FLATBUSH-CENTRAL,3
89,FLATBUSH-EAST,3
90,FLATBUSH-LEFFERTS GARDEN,3
91,FLATBUSH-NORTH,3
92,FLATIRON,1
93,FLATLANDS,3
94,FLORAL PARK,4
95,FLUSHING MEADOW PARK,4
96,FLUSHING-NORTH,4
97,FLUSHING-SOUTH,4
98,FORDHAM,2
99,FOREST HILLS,4
100,FORT GREENE,3
101,FRESH KILLS,5
102,FRESH MEADOWS,4
103,GERRITSEN BEACH,3
104,GLEN OAKS,4
105,GLENDALE,4
106,GOWANUS,3
107,GRAMERCY,1
108,GRANT CITY,5
109,GRASMERE,5
110,GRAVESEND,3
111,GREAT KILLS,5
112,GREAT KILLS-BAY TERRACE,5
113,GREENPOINT,3
114,GREENWICH VILLAGE-CENTRAL,1
115,GREENWICH VILLAGE-WEST,1
116,GRYMES HILL,5
117,HAMMELS,4
118,HARLEM-CENTRAL,1
119,HARLEM-EAST,1
120,HARLEM-UPPER,1
121,HARLEM-WEST,1
122,HIGHBRIDGE/MORRIS HEIGHTS,2
123,HILLCREST,4
124,HOLLIS,4
125,HOLLIS HILLS,4
126,HOLLISWOOD,4
127,HOWARD BEACH,4
128,HUGUENOT,5
129,HUNTS POINT,2
130,INWOOD,1
131,JACKSON HEIGHTS,4
132,JAMAICA,4
133,JAMAICA BAY (BROOKLYN),3
134,JAMAICA BAY (QUEENS),4
135,JAMAICA ESTATES,4
136,JAMAICA HILLS,4
137,JAVITS CENTER,1
138,KENSINGTON,3
139,KEW GARDENS,4
140,KINGSBRIDGE HTS/UNIV HTS,2
141,KINGSBRIDGE/JEROME PARK,2
142,KIPS BAY,1
143,LAURELTON,4
144,LITTLE ITALY,1
145,LITTLE NECK,4
146,LIVINGSTON,5
147,LONG ISLAND CITY,4
148,LOWER EAST SIDE,1
149,MADISON,3
150,MANHATTAN BEACH,3
151,MANHATTAN VALLEY,1
152,MANHATTAN-UNKNOWN,1
153,MANOR HEIGHTS,5
154,MARINE PARK,3
155,MARINERS HARBOR,5
156,MASPETH,4
157,MELROSE/CONCOURSE,2
158,MIDDLE VILLAGE,4
159,MIDLAND BEACH,5
160,MIDTOWN CBD,1
161,MIDTOWN EAST,1
162,MIDTOWN WEST,1
163,MIDWOOD,3
164,MILL BASIN,3
165,MORNINGSIDE HEIGHTS,1
166,MORRIS PARK/VAN NEST,2
167,MORRISANIA/LONGWOOD,2
168,MOTT HAVEN/PORT MORRIS,2
169,MOUNT HOPE/MOUNT EDEN,2
170,MURRAY HILL,1
171,NAVY YARD,3
172,NEPONSIT,4
173,NEW BRIGHTON,5
174,NEW BRIGHTON-ST. GEORGE,5
175,NEW DORP,5
